Year,Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2008,2008-07,NYSE (N),33684626907,100,300,33684627307,0,0,0,0,113284458,1,3,113284462
2008,2008-07,NYSE Arca (P),19884857983,9601935024,8786213477,38273006484,0,0,0,0,119171107,27346905,42710104,189228116
2008,2008-07,Nasdaq (DQ),22956011247,5087409134,11006559890,39049980271,0,0,0,0,42441443,4783571,17688800,64913814
2008,2008-07,Nasdaq (Q),29657556066,12777110691,21743716808,64178383565,0,0,0,0,168563881,35880161,96827439,301271481
2008,2008-07,PHLX (X),111621300,17860600,27580664,157062564,0,0,0,0,134538,2734,42431,179703
2008,2008-08,ADF (D),676442355,68423344,253487437,998353136,0,0,0,0,2760922,173522,946884,3881328
2008,2008-08,AMEX (A),0,648100102,1615500,649715602,0,0,0,0,0,992803,3854,996657
2008,2008-08,CBOE (W),101846500,85960500,82903000,270710000,0,0,0,0,24212,42479,131081,197772
2008,2008-08,CHX (M),447531674,85549486,106535692,639616852,0,0,0,0,509447,42705,133708,685860
2008,2008-08,ISE (I),1225805159,37766230,148825411,1412396800,0,0,0,0,6588905,67103,418157,7074165
2008,2008-08,NSX (C),1252408271,493330350,962492159,2708230780,0,0,0,0,4397998,1180369,4543719,10122086
2008,2008-08,NSX (DC),3963870503,785384787,2417067076,7166322366,0,0,0,0,14506552,2026892,9399593,25933037
2008,2008-08,NYSE (DN),6681729317,3608345077,4386361864,14676436258,0,0,0,0,43741101,13102135,23695598,80538834
2008,2008-08,NYSE (N),22709643558,0,11400,22709654958,0,0,0,0,79203662,0,2,79203664
2008,2008-08,NYSE Arca (P),14695650916,6552139078,6677920475,27925710469,0,0,0,0,90903576,18643728,33253258,142800562
2008,2008-08,Nasdaq (DQ),17965639075,3933589354,9015737008,30914965437,0,0,0,0,36236101,4315147,15471214,56022462
2008,2008-08,Nasdaq (Q),20575584323,8811132529,15713638816,45100355668,0,0,0,0,116815673,25471754,70551406,212838833
2008,2008-08,PHLX (X),62182200,9155400,16013591,87351191,0,0,0,0,17315,547,7067,24929
